Membership No  Date Joined  Active  
    79837      2016-6-8     no    
    94026      2019-3-7     no    
    11378      2019-11-13   no    
    18256      2017-5-23    no    
    67684      2019-7-5     no    
    35403      2017-9-17    no    
    74805      2019-7-15    no    
    56197      2017-1-21    no    
    58961      2019-4-8     no    
    77947      2017-3-24    no    
    78005      2015-7-4     no    
    95211      2015-7-22    no    
    99609      2019-9-11    no    
    67449      2020-4-20    no    
