Membership No  Date Joined  Active  
    26172      2018-6-21    yes   
    84576      2018-5-22    yes   
    11761      2017-11-11   yes   
    15207      2020-12-8    yes   
    92702      2015-9-22    yes   
    33614      2016-2-15    yes   
    52712      2017-4-15    yes   
    11851      2016-9-18    yes   
    61875      2017-6-25    yes   
    72328      2016-8-18    yes   
    98927      2017-4-9     yes   
    29073      2018-7-5     yes   
    32818      2015-8-6     yes   
    59432      2018-9-10    yes   
